 arch	  circuit	  script_params	  vtr_flow_elapsed_time	  vtr_max_mem_stage	  vtr_max_mem	  error	  odin_synth_time	  max_odin_mem	  parmys_synth_time	  max_parmys_mem	  abc_depth	  abc_synth_time	  abc_cec_time	  abc_sec_time	  max_abc_mem	  ace_time	  max_ace_mem	  num_clb	  num_io	  num_memories	  num_mult	  vpr_status	  vpr_revision	  vpr_build_info	  vpr_compiler	  vpr_compiled	  hostname	  rundir	  max_vpr_mem	  num_primary_inputs	  num_primary_outputs	  num_pre_packed_nets	  num_pre_packed_blocks	  num_netlist_clocks	  num_post_packed_nets	  num_post_packed_blocks	  device_width	  device_height	  device_grid_tiles	  device_limiting_resources	  device_name	  pack_mem	  pack_time	  placed_wirelength_est	  place_mem	  place_time	  place_quench_time	  placed_CPD_est	  placed_setup_TNS_est	  placed_setup_WNS_est	  placed_geomean_nonvirtual_intradomain_critical_path_delay_est	  place_delay_matrix_lookup_time	  place_quench_timing_analysis_time	  place_quench_sta_time	  place_total_timing_analysis_time	  place_total_sta_time	  min_chan_width	  routed_wirelength	  min_chan_width_route_success_iteration	  logic_block_area_total	  logic_block_area_used	  min_chan_width_routing_area_total	  min_chan_width_routing_area_per_tile	  min_chan_width_route_time	  min_chan_width_total_timing_analysis_time	  min_chan_width_total_sta_time	  crit_path_num_rr_graph_nodes	  crit_path_num_rr_graph_edges	  crit_path_collapsed_nodes	  crit_path_routed_wirelength	  crit_path_route_success_iteration	  crit_path_total_nets_routed	  crit_path_total_connections_routed	  crit_path_total_heap_pushes	  crit_path_total_heap_pops	  crit_path_total_internal_heap_pushes	  crit_path_total_internal_heap_pops	  crit_path_total_external_heap_pushes	  crit_path_total_external_heap_pops	  crit_path_total_external_SOURCE_pushes	  crit_path_total_external_SOURCE_pops	  crit_path_total_internal_SOURCE_pushes	  crit_path_total_internal_SOURCE_pops	  crit_path_total_external_SINK_pushes	  crit_path_total_external_SINK_pops	  crit_path_total_internal_SINK_pushes	  crit_path_total_internal_SINK_pops	  crit_path_total_external_IPIN_pushes	  crit_path_total_external_IPIN_pops	  crit_path_total_internal_IPIN_pushes	  crit_path_total_internal_IPIN_pops	  crit_path_total_external_OPIN_pushes	  crit_path_total_external_OPIN_pops	  crit_path_total_internal_OPIN_pushes	  crit_path_total_internal_OPIN_pops	  crit_path_total_external_CHANX_pushes	  crit_path_total_external_CHANX_pops	  crit_path_total_internal_CHANX_pushes	  crit_path_total_internal_CHANX_pops	  crit_path_total_external_CHANY_pushes	  crit_path_total_external_CHANY_pops	  crit_path_total_internal_CHANY_pushes	  crit_path_total_internal_CHANY_pops	  crit_path_rt_node_SOURCE_pushes	  crit_path_rt_node_SINK_pushes	  crit_path_rt_node_IPIN_pushes	  crit_path_rt_node_OPIN_pushes	  crit_path_rt_node_CHANX_pushes	  crit_path_rt_node_CHANY_pushes	  crit_path_adding_all_rt	  crit_path_adding_high_fanout_rt	  crit_path_total_number_of_adding_all_rt_from_calling_high_fanout_rt	  critical_path_delay	  geomean_nonvirtual_intradomain_critical_path_delay	  setup_TNS	  setup_WNS	  hold_TNS	  hold_WNS	  crit_path_routing_area_total	  crit_path_routing_area_per_tile	  router_lookahead_computation_time	  crit_path_route_time	  crit_path_create_rr_graph_time	  crit_path_create_intra_cluster_rr_graph_time	  crit_path_tile_lookahead_computation_time	  crit_path_router_lookahead_computation_time	  crit_path_total_timing_analysis_time	  crit_path_total_sta_time	 
 k6_frac_N10_40nm.xml	  const_true.blif	  common	  0.32	  vpr	  55.59 MiB	  	  -1	  -1	  -1	  -1	  0	  0.00	  -1	  -1	  32720	  -1	  -1	  1	  0	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  56928	  -1	  1	  1	  2	  0	  1	  2	  3	  3	  9	  -1	  auto	  17.0 MiB	  0.00	  0	  55.6 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.00	  5.13e-06	  2.47e-06	  4.5457e-05	  3.0206e-05	  -1	  0	  1	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000123021	  8.4248e-05	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  const_false.blif	  common	  0.33	  vpr	  55.88 MiB	  	  -1	  -1	  -1	  -1	  0	  0.00	  -1	  -1	  32896	  -1	  -1	  1	  0	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57224	  -1	  1	  1	  2	  0	  1	  2	  3	  3	  9	  -1	  auto	  17.1 MiB	  0.00	  0	  55.9 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.00	  5.841e-06	  2.956e-06	  4.597e-05	  3.0064e-05	  -1	  0	  1	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000122127	  8.4242e-05	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  always_true.blif	  common	  0.32	  vpr	  55.96 MiB	  	  -1	  -1	  -1	  -1	  0	  0.01	  -1	  -1	  32912	  -1	  -1	  1	  0	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57308	  6	  1	  1	  8	  0	  1	  8	  3	  3	  9	  -1	  auto	  17.2 MiB	  0.00	  0	  56.0 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.00	  5.66e-06	  2.94e-06	  5.773e-05	  4.0743e-05	  -1	  0	  1	  53894	  53894	  38783.3	  4309.26	  0.00	  0.00015399	  0.000110059	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  always_false.blif	  common	  0.32	  vpr	  55.89 MiB	  	  -1	  -1	  -1	  -1	  0	  0.00	  -1	  -1	  32876	  -1	  -1	  1	  0	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57228	  6	  1	  1	  8	  0	  1	  8	  3	  3	  9	  -1	  auto	  17.2 MiB	  0.00	  0	  55.9 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.00	  5.615e-06	  2.859e-06	  4.3622e-05	  2.8608e-05	  -1	  0	  1	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000203318	  9.3875e-05	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  and.blif	  common	  0.32	  vpr	  55.86 MiB	  	  -1	  -1	  -1	  -1	  1	  0.00	  -1	  -1	  33104	  -1	  -1	  1	  2	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57200	  2	  1	  3	  4	  0	  3	  4	  3	  3	  9	  -1	  auto	  17.1 MiB	  0.00	  6	  55.9 MiB	  0.00	  0.00	  0.708653	  -0.708653	  -0.708653	  nan	  0.00	  6.247e-06	  3.835e-06	  6.3448e-05	  4.673e-05	  -1	  4	  1	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000187171	  0.000142636	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  multiconnected_lut.blif	  common	  0.43	  vpr	  55.68 MiB	  	  -1	  -1	  -1	  -1	  1	  0.04	  -1	  -1	  34672	  -1	  -1	  1	  5	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57016	  5	  1	  6	  7	  0	  6	  7	  3	  3	  9	  -1	  auto	  17.0 MiB	  0.00	  12	  55.7 MiB	  0.00	  0.00	  0.708653	  -0.708653	  -0.708653	  nan	  0.00	  7.521e-06	  4.744e-06	  8.5313e-05	  6.7932e-05	  -1	  7	  11	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000403477	  0.000314897	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  multiconnected_lut2.blif	  common	  0.43	  vpr	  55.89 MiB	  	  -1	  -1	  -1	  -1	  1	  0.04	  -1	  -1	  35008	  -1	  -1	  1	  5	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57228	  5	  1	  6	  7	  0	  6	  7	  3	  3	  9	  -1	  auto	  17.1 MiB	  0.00	  12	  55.9 MiB	  0.00	  0.00	  0.708653	  -0.708653	  -0.708653	  nan	  0.00	  7.817e-06	  4.906e-06	  8.8931e-05	  7.1071e-05	  -1	  7	  11	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000374256	  0.000291803	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  and_latch.blif	  common	  0.28	  vpr	  56.07 MiB	  	  -1	  -1	  -1	  -1	  1	  0.01	  -1	  -1	  32940	  -1	  -1	  1	  3	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57416	  3	  1	  5	  6	  1	  4	  5	  3	  3	  9	  -1	  auto	  17.2 MiB	  0.00	  6	  56.1 MiB	  0.00	  0.00	  0.544641	  -0.918653	  -0.544641	  0.544641	  0.00	  7.619e-06	  4.695e-06	  8.7251e-05	  6.8846e-05	  -1	  3	  1	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000239251	  0.000189001	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  false_path_mux.blif	  common	  0.42	  vpr	  55.82 MiB	  	  -1	  -1	  -1	  -1	  1	  0.04	  -1	  -1	  35244	  -1	  -1	  1	  3	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57156	  4	  1	  4	  6	  0	  4	  6	  3	  3	  9	  -1	  auto	  16.8 MiB	  0.00	  8	  55.8 MiB	  0.00	  0.00	  0.708653	  -0.708653	  -0.708653	  nan	  0.00	  6.507e-06	  4.112e-06	  6.884e-05	  5.3277e-05	  -1	  6	  1	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000200159	  0.000159885	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
 k6_frac_N10_40nm.xml	  mult_2x2.blif	  common	  0.44	  vpr	  55.98 MiB	  	  -1	  -1	  -1	  -1	  1	  0.04	  -1	  -1	  34744	  -1	  -1	  1	  4	  -1	  -1	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  57324	  4	  4	  8	  12	  0	  8	  9	  3	  3	  9	  -1	  auto	  16.9 MiB	  0.00	  16	  56.0 MiB	  0.00	  0.00	  0.708653	  -2.83461	  -0.708653	  nan	  0.00	  1.242e-05	  8.568e-06	  0.000151463	  0.000127587	  -1	  11	  5	  53894	  53894	  38783.3	  4309.26	  0.00	  0.000572837	  0.000490392	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
