 arch	  circuit	  script_params	  vtr_flow_elapsed_time	  vtr_max_mem_stage	  vtr_max_mem	  error	  odin_synth_time	  max_odin_mem	  parmys_synth_time	  max_parmys_mem	  abc_depth	  abc_synth_time	  abc_cec_time	  abc_sec_time	  max_abc_mem	  ace_time	  max_ace_mem	  num_clb	  num_io	  num_memories	  num_mult	  vpr_status	  vpr_revision	  vpr_build_info	  vpr_compiler	  vpr_compiled	  hostname	  rundir	  max_vpr_mem	  num_primary_inputs	  num_primary_outputs	  num_pre_packed_nets	  num_pre_packed_blocks	  num_netlist_clocks	  num_post_packed_nets	  num_post_packed_blocks	  device_width	  device_height	  device_grid_tiles	  device_limiting_resources	  device_name	  pack_mem	  pack_time	  placed_wirelength_est	  place_mem	  place_time	  place_quench_time	  placed_CPD_est	  placed_setup_TNS_est	  placed_setup_WNS_est	  placed_geomean_nonvirtual_intradomain_critical_path_delay_est	  place_delay_matrix_lookup_time	  place_quench_timing_analysis_time	  place_quench_sta_time	  place_total_timing_analysis_time	  place_total_sta_time	  min_chan_width	  routed_wirelength	  min_chan_width_route_success_iteration	  logic_block_area_total	  logic_block_area_used	  min_chan_width_routing_area_total	  min_chan_width_routing_area_per_tile	  min_chan_width_route_time	  min_chan_width_total_timing_analysis_time	  min_chan_width_total_sta_time	  crit_path_num_rr_graph_nodes	  crit_path_num_rr_graph_edges	  crit_path_collapsed_nodes	  crit_path_routed_wirelength	  crit_path_route_success_iteration	  crit_path_total_nets_routed	  crit_path_total_connections_routed	  crit_path_total_heap_pushes	  crit_path_total_heap_pops	  crit_path_total_internal_heap_pushes	  crit_path_total_internal_heap_pops	  crit_path_total_external_heap_pushes	  crit_path_total_external_heap_pops	  crit_path_total_external_SOURCE_pushes	  crit_path_total_external_SOURCE_pops	  crit_path_total_internal_SOURCE_pushes	  crit_path_total_internal_SOURCE_pops	  crit_path_total_external_SINK_pushes	  crit_path_total_external_SINK_pops	  crit_path_total_internal_SINK_pushes	  crit_path_total_internal_SINK_pops	  crit_path_total_external_IPIN_pushes	  crit_path_total_external_IPIN_pops	  crit_path_total_internal_IPIN_pushes	  crit_path_total_internal_IPIN_pops	  crit_path_total_external_OPIN_pushes	  crit_path_total_external_OPIN_pops	  crit_path_total_internal_OPIN_pushes	  crit_path_total_internal_OPIN_pops	  crit_path_total_external_CHANX_pushes	  crit_path_total_external_CHANX_pops	  crit_path_total_internal_CHANX_pushes	  crit_path_total_internal_CHANX_pops	  crit_path_total_external_CHANY_pushes	  crit_path_total_external_CHANY_pops	  crit_path_total_internal_CHANY_pushes	  crit_path_total_internal_CHANY_pops	  crit_path_rt_node_SOURCE_pushes	  crit_path_rt_node_SINK_pushes	  crit_path_rt_node_IPIN_pushes	  crit_path_rt_node_OPIN_pushes	  crit_path_rt_node_CHANX_pushes	  crit_path_rt_node_CHANY_pushes	  crit_path_adding_all_rt	  crit_path_adding_high_fanout_rt	  crit_path_total_number_of_adding_all_rt_from_calling_high_fanout_rt	  critical_path_delay	  geomean_nonvirtual_intradomain_critical_path_delay	  setup_TNS	  setup_WNS	  hold_TNS	  hold_WNS	  crit_path_routing_area_total	  crit_path_routing_area_per_tile	  router_lookahead_computation_time	  crit_path_route_time	  crit_path_create_rr_graph_time	  crit_path_create_intra_cluster_rr_graph_time	  crit_path_tile_lookahead_computation_time	  crit_path_router_lookahead_computation_time	  crit_path_total_timing_analysis_time	  crit_path_total_sta_time	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  const_true.blif	  common	  0.47	  vpr	  57.64 MiB	  	  -1	  -1	  -1	  -1	  0	  0.00	  -1	  -1	  32860	  -1	  -1	  1	  0	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59020	  -1	  1	  1	  2	  0	  1	  2	  3	  3	  9	  -1	  auto	  18.6 MiB	  0.00	  0	  57.6 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.01	  5.69e-06	  2.988e-06	  4.429e-05	  2.8541e-05	  2	  0	  1	  3900	  3900	  966.985	  107.443	  0.00	  0.000123169	  8.5381e-05	  258	  293	  -1	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  nan	  nan	  0	  0	  0	  0	  966.985	  107.443	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  5.2567e-05	  3.7129e-05	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  const_false.blif	  common	  0.48	  vpr	  57.87 MiB	  	  -1	  -1	  -1	  -1	  0	  0.00	  -1	  -1	  32948	  -1	  -1	  1	  0	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59256	  -1	  1	  1	  2	  0	  1	  2	  3	  3	  9	  -1	  auto	  18.8 MiB	  0.00	  0	  57.9 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.01	  6.897e-06	  3.722e-06	  4.678e-05	  2.9936e-05	  2	  0	  1	  3900	  3900	  966.985	  107.443	  0.00	  0.000106987	  7.0761e-05	  258	  293	  -1	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  nan	  nan	  0	  0	  0	  0	  966.985	  107.443	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  5.3449e-05	  3.8298e-05	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  always_true.blif	  common	  0.49	  vpr	  57.61 MiB	  	  -1	  -1	  -1	  -1	  0	  0.00	  -1	  -1	  32888	  -1	  -1	  1	  0	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  58988	  6	  1	  1	  8	  0	  1	  8	  3	  3	  9	  -1	  auto	  18.5 MiB	  0.00	  0	  57.6 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.01	  5.118e-06	  2.364e-06	  3.8206e-05	  2.4054e-05	  2	  0	  1	  3900	  3900	  966.985	  107.443	  0.00	  0.000106862	  7.0524e-05	  258	  293	  -1	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  nan	  nan	  0	  0	  0	  0	  966.985	  107.443	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  5.8833e-05	  4.2158e-05	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  always_false.blif	  common	  0.49	  vpr	  57.54 MiB	  	  -1	  -1	  -1	  -1	  0	  0.01	  -1	  -1	  32820	  -1	  -1	  1	  0	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  58924	  6	  1	  1	  8	  0	  1	  8	  3	  3	  9	  -1	  auto	  18.5 MiB	  0.00	  0	  57.5 MiB	  0.00	  0.00	  nan	  0	  0	  nan	  0.01	  5.504e-06	  2.711e-06	  4.1979e-05	  2.6953e-05	  2	  0	  1	  3900	  3900	  966.985	  107.443	  0.00	  0.000111947	  7.497e-05	  258	  293	  -1	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  nan	  nan	  0	  0	  0	  0	  966.985	  107.443	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  5.9476e-05	  4.2249e-05	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  and.blif	  common	  0.50	  vpr	  57.62 MiB	  	  -1	  -1	  -1	  -1	  1	  0.00	  -1	  -1	  32980	  -1	  -1	  1	  2	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59004	  2	  1	  3	  4	  0	  3	  4	  3	  3	  9	  -1	  auto	  18.6 MiB	  0.00	  6	  57.6 MiB	  0.00	  0.00	  0.459217	  -0.459217	  -0.459217	  nan	  0.01	  6.732e-06	  4.097e-06	  5.8226e-05	  4.0939e-05	  16	  10	  1	  3900	  3900	  3970.02	  441.113	  0.01	  0.0002005	  0.000141981	  330	  691	  -1	  7	  1	  3	  3	  76	  61	  0	  0	  76	  61	  3	  3	  0	  0	  15	  15	  0	  0	  18	  18	  0	  0	  3	  3	  0	  0	  14	  9	  0	  0	  23	  13	  0	  0	  3	  0	  0	  0	  0	  0	  3	  0	  0	  0.656238	  nan	  -0.656238	  -0.656238	  0	  0	  4445.42	  493.935	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  7.6289e-05	  5.9929e-05	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  multiconnected_lut.blif	  common	  0.62	  vpr	  57.93 MiB	  	  -1	  -1	  -1	  -1	  2	  0.03	  -1	  -1	  34844	  -1	  -1	  1	  5	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59316	  5	  1	  7	  8	  0	  7	  7	  3	  3	  9	  -1	  auto	  18.8 MiB	  0.00	  14	  57.9 MiB	  0.00	  0.00	  0.72619	  -0.72619	  -0.72619	  nan	  0.01	  9.815e-06	  5.437e-06	  7.5413e-05	  5.6474e-05	  16	  33	  25	  3900	  3900	  3970.02	  441.113	  0.03	  0.00120401	  0.000839914	  330	  691	  -1	  13	  8	  20	  20	  570	  442	  0	  0	  570	  442	  20	  20	  0	  0	  110	  109	  0	  0	  156	  147	  0	  0	  20	  20	  0	  0	  111	  65	  0	  0	  153	  81	  0	  0	  20	  0	  0	  0	  0	  0	  20	  0	  0	  0.856453	  nan	  -0.856453	  -0.856453	  0	  0	  4445.42	  493.935	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  0.000230977	  0.000182648	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  multiconnected_lut2.blif	  common	  0.63	  vpr	  57.82 MiB	  	  -1	  -1	  -1	  -1	  2	  0.04	  -1	  -1	  35036	  -1	  -1	  1	  5	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59208	  5	  1	  7	  8	  0	  7	  7	  3	  3	  9	  -1	  auto	  18.7 MiB	  0.00	  14	  57.8 MiB	  0.00	  0.00	  0.72619	  -0.72619	  -0.72619	  nan	  0.01	  1.0315e-05	  6.157e-06	  7.9993e-05	  6.0764e-05	  16	  24	  16	  3900	  3900	  3970.02	  441.113	  0.02	  0.00117512	  0.000847118	  330	  691	  -1	  19	  9	  26	  26	  721	  563	  0	  0	  721	  563	  26	  26	  0	  0	  141	  141	  0	  0	  193	  185	  0	  0	  26	  26	  0	  0	  140	  79	  0	  0	  195	  106	  0	  0	  26	  0	  0	  0	  0	  0	  26	  0	  0	  1.22966	  nan	  -1.22966	  -1.22966	  0	  0	  4445.42	  493.935	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  0.000243243	  0.000189876	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  and_latch.blif	  common	  0.45	  vpr	  57.99 MiB	  	  -1	  -1	  -1	  -1	  1	  0.00	  -1	  -1	  32936	  -1	  -1	  1	  3	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59380	  3	  1	  5	  6	  1	  4	  5	  3	  3	  9	  -1	  auto	  18.9 MiB	  0.00	  6	  58.0 MiB	  0.00	  0.00	  0.282563	  -0.551847	  -0.282563	  0.282563	  0.01	  8.004e-06	  4.941e-06	  6.6225e-05	  4.7498e-05	  14	  4	  1	  3900	  3900	  2841.42	  315.713	  0.01	  0.000218121	  0.00016365	  322	  679	  -1	  9	  1	  3	  3	  67	  52	  0	  0	  67	  52	  3	  3	  0	  0	  14	  13	  0	  0	  14	  14	  0	  0	  3	  3	  0	  0	  13	  6	  0	  0	  20	  13	  0	  0	  3	  0	  0	  0	  0	  0	  3	  0	  0	  0.532011	  0.532011	  -0.86673	  -0.532011	  0	  0	  4264.82	  473.869	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  0.000112969	  9.2311e-05	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  false_path_mux.blif	  common	  0.60	  vpr	  57.91 MiB	  	  -1	  -1	  -1	  -1	  1	  0.04	  -1	  -1	  35260	  -1	  -1	  1	  3	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59296	  4	  1	  4	  6	  0	  4	  6	  3	  3	  9	  -1	  auto	  18.9 MiB	  0.00	  8	  57.9 MiB	  0.00	  0.00	  0.459217	  -0.459217	  -0.459217	  nan	  0.01	  6.851e-06	  4.071e-06	  5.5368e-05	  3.9204e-05	  14	  17	  12	  3900	  3900	  2841.42	  315.713	  0.01	  0.000314391	  0.000229726	  322	  679	  -1	  12	  12	  25	  25	  797	  638	  0	  0	  797	  638	  25	  25	  0	  0	  168	  167	  0	  0	  236	  235	  0	  0	  25	  25	  0	  0	  123	  74	  0	  0	  220	  112	  0	  0	  25	  0	  0	  0	  0	  0	  25	  0	  0	  0.903756	  nan	  -0.903756	  -0.903756	  0	  0	  4264.82	  473.869	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  0.000183846	  0.000134632	 
 k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	  mult_2x2.blif	  common	  0.63	  vpr	  57.89 MiB	  	  -1	  -1	  -1	  -1	  1	  0.04	  -1	  -1	  34780	  -1	  -1	  1	  4	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  59280	  4	  4	  8	  12	  0	  8	  9	  3	  3	  9	  -1	  auto	  18.8 MiB	  0.00	  17	  57.9 MiB	  0.00	  0.00	  0.461147	  -1.8388	  -0.461147	  nan	  0.01	  1.2929e-05	  8.494e-06	  0.000129698	  0.000107004	  28	  40	  26	  3900	  3900	  5935.82	  659.535	  0.04	  0.00197534	  0.00151535	  394	  1003	  -1	  37	  8	  26	  79	  2373	  1678	  0	  0	  2373	  1678	  79	  61	  0	  0	  429	  424	  0	  0	  567	  534	  0	  0	  94	  80	  0	  0	  488	  163	  0	  0	  716	  416	  0	  0	  79	  0	  0	  53	  53	  87	  458	  0	  0	  0.94521	  nan	  -3.00059	  -0.94521	  0	  0	  6854.42	  761.602	  0.00	  0.00	  0.00	  -1	  -1	  0.00	  0.00041069	  0.000345905	 
