 arch	  circuit	  script_params	  vtr_flow_elapsed_time	  vtr_max_mem_stage	  vtr_max_mem	  error	  odin_synth_time	  max_odin_mem	  parmys_synth_time	  max_parmys_mem	  abc_depth	  abc_synth_time	  abc_cec_time	  abc_sec_time	  max_abc_mem	  ace_time	  max_ace_mem	  num_clb	  num_io	  num_memories	  num_mult	  vpr_status	  vpr_revision	  vpr_build_info	  vpr_compiler	  vpr_compiled	  hostname	  rundir	  max_vpr_mem	  num_primary_inputs	  num_primary_outputs	  num_pre_packed_nets	  num_pre_packed_blocks	  num_netlist_clocks	  num_post_packed_nets	  num_post_packed_blocks	  device_width	  device_height	  device_grid_tiles	  device_limiting_resources	  device_name	  pack_mem	  pack_time	  placed_wirelength_est	  place_mem	  place_time	  place_quench_time	  placed_CPD_est	  placed_setup_TNS_est	  placed_setup_WNS_est	  placed_geomean_nonvirtual_intradomain_critical_path_delay_est	  place_delay_matrix_lookup_time	  place_quench_timing_analysis_time	  place_quench_sta_time	  place_total_timing_analysis_time	  place_total_sta_time	  min_chan_width	  routed_wirelength	  min_chan_width_route_success_iteration	  logic_block_area_total	  logic_block_area_used	  min_chan_width_routing_area_total	  min_chan_width_routing_area_per_tile	  min_chan_width_route_time	  min_chan_width_total_timing_analysis_time	  min_chan_width_total_sta_time	  crit_path_num_rr_graph_nodes	  crit_path_num_rr_graph_edges	  crit_path_collapsed_nodes	  crit_path_routed_wirelength	  crit_path_route_success_iteration	  crit_path_total_nets_routed	  crit_path_total_connections_routed	  crit_path_total_heap_pushes	  crit_path_total_heap_pops	  crit_path_total_internal_heap_pushes	  crit_path_total_internal_heap_pops	  crit_path_total_external_heap_pushes	  crit_path_total_external_heap_pops	  crit_path_total_external_SOURCE_pushes	  crit_path_total_external_SOURCE_pops	  crit_path_total_internal_SOURCE_pushes	  crit_path_total_internal_SOURCE_pops	  crit_path_total_external_SINK_pushes	  crit_path_total_external_SINK_pops	  crit_path_total_internal_SINK_pushes	  crit_path_total_internal_SINK_pops	  crit_path_total_external_IPIN_pushes	  crit_path_total_external_IPIN_pops	  crit_path_total_internal_IPIN_pushes	  crit_path_total_internal_IPIN_pops	  crit_path_total_external_OPIN_pushes	  crit_path_total_external_OPIN_pops	  crit_path_total_internal_OPIN_pushes	  crit_path_total_internal_OPIN_pops	  crit_path_total_external_CHANX_pushes	  crit_path_total_external_CHANX_pops	  crit_path_total_internal_CHANX_pushes	  crit_path_total_internal_CHANX_pops	  crit_path_total_external_CHANY_pushes	  crit_path_total_external_CHANY_pops	  crit_path_total_internal_CHANY_pushes	  crit_path_total_internal_CHANY_pops	  crit_path_rt_node_SOURCE_pushes	  crit_path_rt_node_SINK_pushes	  crit_path_rt_node_IPIN_pushes	  crit_path_rt_node_OPIN_pushes	  crit_path_rt_node_CHANX_pushes	  crit_path_rt_node_CHANY_pushes	  crit_path_adding_all_rt	  crit_path_adding_high_fanout_rt	  crit_path_total_number_of_adding_all_rt_from_calling_high_fanout_rt	  critical_path_delay	  geomean_nonvirtual_intradomain_critical_path_delay	  setup_TNS	  setup_WNS	  hold_TNS	  hold_WNS	  crit_path_routing_area_total	  crit_path_routing_area_per_tile	  router_lookahead_computation_time	  crit_path_route_time	  crit_path_create_rr_graph_time	  crit_path_create_intra_cluster_rr_graph_time	  crit_path_tile_lookahead_computation_time	  crit_path_router_lookahead_computation_time	  crit_path_total_timing_analysis_time	  crit_path_total_sta_time	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_1	  1.23	  vpr	  64.02 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  11	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65556	  10	  10	  168	  178	  1	  75	  31	  6	  6	  36	  clb	  auto	  25.4 MiB	  0.18	  377	  64.0 MiB	  0.02	  0.00	  2.28629	  -25.3037	  -2.28629	  2.28629	  0.05	  0.000263074	  0.000212523	  0.00993671	  0.00870746	  34	  729	  19	  646728	  592834	  60331.2	  1675.87	  0.35	  0.0867877	  0.0747956	  2760	  10905	  -1	  749	  24	  567	  2003	  84153	  30622	  0	  0	  84153	  30622	  2003	  1429	  0	  0	  6204	  5627	  0	  0	  10384	  8639	  0	  0	  2441	  1722	  0	  0	  30731	  6613	  0	  0	  32390	  6592	  0	  0	  2003	  0	  0	  1578	  7189	  7485	  53107	  0	  0	  2.71342	  2.71342	  -33.041	  -2.71342	  0	  0	  73923.1	  2053.42	  0.01	  0.07	  0.01	  -1	  -1	  0.01	  0.0290072	  0.0266705	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_0.7	  1.23	  vpr	  64.05 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  11	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65584	  10	  10	  168	  178	  1	  75	  31	  6	  6	  36	  clb	  auto	  25.5 MiB	  0.18	  377	  64.0 MiB	  0.02	  0.00	  2.28629	  -25.3037	  -2.28629	  2.28629	  0.05	  0.000252773	  0.000201615	  0.00976397	  0.00854154	  34	  729	  19	  646728	  592834	  60331.2	  1675.87	  0.35	  0.0876654	  0.0757094	  2760	  10905	  -1	  749	  24	  567	  2003	  84153	  30622	  0	  0	  84153	  30622	  2003	  1429	  0	  0	  6204	  5627	  0	  0	  10384	  8639	  0	  0	  2441	  1722	  0	  0	  30731	  6613	  0	  0	  32390	  6592	  0	  0	  2003	  0	  0	  1578	  7189	  7485	  53107	  0	  0	  2.71342	  2.71342	  -33.041	  -2.71342	  0	  0	  73923.1	  2053.42	  0.01	  0.06	  0.01	  -1	  -1	  0.01	  0.027474	  0.0251671	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_0.1,0.5	  3.77	  vpr	  64.30 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  90	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65840	  10	  10	  168	  178	  1	  162	  110	  14	  14	  196	  clb	  auto	  26.1 MiB	  0.85	  1427	  64.3 MiB	  0.06	  0.00	  2.49469	  -31.7529	  -2.49469	  2.49469	  0.64	  0.00035619	  0.000291812	  0.00997848	  0.00842083	  28	  2777	  12	  9.20055e+06	  4.85046e+06	  407540.	  2079.28	  0.73	  0.0546986	  0.0475685	  18980	  78299	  -1	  2716	  14	  578	  2206	  129952	  27738	  0	  0	  129952	  27738	  2206	  1074	  0	  0	  6857	  5834	  0	  0	  9639	  9363	  0	  0	  2462	  1347	  0	  0	  55751	  4790	  0	  0	  53037	  5330	  0	  0	  2206	  0	  0	  1741	  20069	  19715	  119303	  0	  0	  3.30455	  3.30455	  -42.911	  -3.30455	  0	  0	  486621.	  2482.76	  0.18	  0.07	  0.07	  -1	  -1	  0.18	  0.0176935	  0.0162834	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_0.5,0.3	  1.29	  vpr	  64.09 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  13	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65632	  10	  10	  168	  178	  1	  75	  33	  7	  7	  49	  clb	  auto	  25.5 MiB	  0.20	  404	  64.1 MiB	  0.02	  0.00	  2.19243	  -25.5645	  -2.19243	  2.19243	  0.09	  0.000255645	  0.000203187	  0.00810891	  0.00718859	  26	  1151	  31	  1.07788e+06	  700622	  75813.7	  1547.22	  0.32	  0.0648566	  0.0565279	  3816	  13734	  -1	  917	  14	  423	  1423	  65638	  21443	  0	  0	  65638	  21443	  1423	  1067	  0	  0	  4476	  4044	  0	  0	  7003	  6292	  0	  0	  1769	  1406	  0	  0	  25911	  4290	  0	  0	  25056	  4344	  0	  0	  1423	  0	  0	  1091	  4922	  5598	  38208	  0	  0	  3.01689	  3.01689	  -34.2006	  -3.01689	  0	  0	  91376.6	  1864.83	  0.02	  0.05	  0.02	  -1	  -1	  0.02	  0.0221109	  0.0207144	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_0.0	  3.63	  vpr	  63.89 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  101	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65428	  10	  10	  168	  178	  1	  163	  121	  14	  14	  196	  clb	  auto	  25.9 MiB	  0.94	  1472	  63.9 MiB	  0.07	  0.00	  2.56029	  -32.6207	  -2.56029	  2.56029	  0.64	  0.00024929	  0.000200352	  0.0117077	  0.00986481	  20	  2980	  20	  9.20055e+06	  5.44329e+06	  295730.	  1508.82	  0.54	  0.0358911	  0.0317716	  18004	  60473	  -1	  2921	  13	  635	  2456	  148117	  31310	  0	  0	  148117	  31310	  2456	  1208	  0	  0	  7582	  6496	  0	  0	  10584	  10341	  0	  0	  2757	  1553	  0	  0	  64007	  5530	  0	  0	  60731	  6182	  0	  0	  2456	  0	  0	  1928	  21866	  23440	  135006	  0	  0	  3.72331	  3.72331	  -44.4881	  -3.72331	  0	  0	  387483.	  1976.95	  0.16	  0.08	  0.06	  -1	  -1	  0.16	  0.0180908	  0.0166769	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_clb_0.7	  1.21	  vpr	  64.09 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  11	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65628	  10	  10	  168	  178	  1	  75	  31	  6	  6	  36	  clb	  auto	  25.5 MiB	  0.18	  377	  64.1 MiB	  0.02	  0.00	  2.28629	  -25.3037	  -2.28629	  2.28629	  0.05	  0.000267311	  0.000208722	  0.00928442	  0.00808879	  34	  729	  19	  646728	  592834	  60331.2	  1675.87	  0.35	  0.0843605	  0.0726705	  2760	  10905	  -1	  749	  24	  567	  2003	  84153	  30622	  0	  0	  84153	  30622	  2003	  1429	  0	  0	  6204	  5627	  0	  0	  10384	  8639	  0	  0	  2441	  1722	  0	  0	  30731	  6613	  0	  0	  32390	  6592	  0	  0	  2003	  0	  0	  1578	  7189	  7485	  53107	  0	  0	  2.71342	  2.71342	  -33.041	  -2.71342	  0	  0	  73923.1	  2053.42	  0.01	  0.06	  0.01	  -1	  -1	  0.01	  0.0263524	  0.0241804	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_clb_0.7_0.8	  1.23	  vpr	  64.23 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  11	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65768	  10	  10	  168	  178	  1	  75	  31	  6	  6	  36	  clb	  auto	  25.6 MiB	  0.18	  377	  64.2 MiB	  0.02	  0.00	  2.28629	  -25.3037	  -2.28629	  2.28629	  0.05	  0.00025003	  0.000198186	  0.00967436	  0.00845264	  34	  729	  19	  646728	  592834	  60331.2	  1675.87	  0.36	  0.0878314	  0.0755835	  2760	  10905	  -1	  749	  24	  567	  2003	  84153	  30622	  0	  0	  84153	  30622	  2003	  1429	  0	  0	  6204	  5627	  0	  0	  10384	  8639	  0	  0	  2441	  1722	  0	  0	  30731	  6613	  0	  0	  32390	  6592	  0	  0	  2003	  0	  0	  1578	  7189	  7485	  53107	  0	  0	  2.71342	  2.71342	  -33.041	  -2.71342	  0	  0	  73923.1	  2053.42	  0.01	  0.06	  0.01	  -1	  -1	  0.01	  0.0258633	  0.0235715	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_clb_0.1_0.8	  3.78	  vpr	  64.30 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  90	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65848	  10	  10	  168	  178	  1	  162	  110	  14	  14	  196	  clb	  auto	  26.1 MiB	  0.84	  1427	  64.3 MiB	  0.06	  0.00	  2.49469	  -31.7529	  -2.49469	  2.49469	  0.65	  0.000274136	  0.000220946	  0.0109845	  0.00944922	  28	  2777	  12	  9.20055e+06	  4.85046e+06	  407540.	  2079.28	  0.76	  0.0573403	  0.0501754	  18980	  78299	  -1	  2716	  14	  578	  2206	  129952	  27738	  0	  0	  129952	  27738	  2206	  1074	  0	  0	  6857	  5834	  0	  0	  9639	  9363	  0	  0	  2462	  1347	  0	  0	  55751	  4790	  0	  0	  53037	  5330	  0	  0	  2206	  0	  0	  1741	  20069	  19715	  119303	  0	  0	  3.30455	  3.30455	  -42.911	  -3.30455	  0	  0	  486621.	  2482.76	  0.19	  0.07	  0.08	  -1	  -1	  0.19	  0.0181284	  0.0167727	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_io_0.1,0.1_clb_0.7_0.8,1.0	  1.22	  vpr	  64.08 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  11	  10	  0	  0	  success	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  65620	  10	  10	  168	  178	  1	  75	  31	  6	  6	  36	  clb	  auto	  25.4 MiB	  0.18	  377	  64.1 MiB	  0.02	  0.00	  2.28629	  -25.3037	  -2.28629	  2.28629	  0.05	  0.000239374	  0.000190007	  0.0100285	  0.00880675	  34	  729	  19	  646728	  592834	  60331.2	  1675.87	  0.35	  0.087905	  0.0758427	  2760	  10905	  -1	  749	  24	  567	  2003	  84153	  30622	  0	  0	  84153	  30622	  2003	  1429	  0	  0	  6204	  5627	  0	  0	  10384	  8639	  0	  0	  2441	  1722	  0	  0	  30731	  6613	  0	  0	  32390	  6592	  0	  0	  2003	  0	  0	  1578	  7189	  7485	  53107	  0	  0	  2.71342	  2.71342	  -33.041	  -2.71342	  0	  0	  73923.1	  2053.42	  0.01	  0.06	  0.01	  -1	  -1	  0.01	  0.0270601	  0.0247346	 
 EArch.xml	  styr.blif	  common_--target_ext_pin_util_-0.1	  0.09	  vpr	  26.41 MiB	  	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  exited with return code 1	  9438425	  release IPO VTR_ASSERT_LEVEL=3	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2023-03-13T17:36:29	  gh-actions-runner-vtr-auto-spawned12	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  27040	  10	  10	  168	  178	  1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  24.3 MiB	  0.00	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	  -1	 
