task_name 	arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
strong_absorb_buffers	k6_frac_N10_40nm.xml	riscv_core_lut6.blif	common	success	-1	1.47	83	-1	-1	
strong_absorb_buffers	k6_frac_N10_40nm.xml	riscv_core_lut6.blif	common	success	-1	1.57	89	-1	-1	
strong_analysis_only	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	137	0.30	12	-1	-1	
strong_analysis_only	k6_frac_N10_frac_chain_mem32K_40nm.xml	stereovision3.v	common	success	278	0.63	15	-1	-1	
strong_analytic_placer	k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1683	2.54	68	34	-1	
strong_bidir	k4_n4_v7_bidir.xml	styr.blif	common	success	1998	1.83	67	13	-1	
strong_bidir	k4_n4_v7_longline_bidir.xml	styr.blif	common	success	2532	2.15	67	18	-1	
strong_bidir	k4_n4_v7_l1_bidir.xml	styr.blif	common	success	1696	3.07	67	11	-1	
strong_bidir	k4_n4_v7_bidir_pass_gate.xml	styr.blif	common	success	2173	2.94	67	16	-1	
strong_binary	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	200	0.42	12	18	-1	
strong_binary	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	200	0.51	12	18	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1290	2.05	69	42	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm.xml	diffeq1.v	common	success	11808	7.79	49	44	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm.xml	single_wire.v	common	success	1	0.16	0	2	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm.xml	single_ff.v	common	success	2	0.15	1	2	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm_i_or_o.xml	ch_intrinsics.v	common	success	1024	8.55	69	42	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm_i_or_o.xml	diffeq1.v	common	success	12895	13.03	49	42	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm_i_or_o.xml	single_wire.v	common	success	2	0.17	0	4	-1	
strong_blocks_with_no_inputs	k6_N10_mem32K_40nm_i_or_o.xml	single_ff.v	common	success	3	0.17	1	6	-1	
strong_bounding_box	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	203	0.33	12	18	-1	
strong_breadth_first	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	172	0.28	12	-1	-1	
strong_check_route_options	sub_tiles.xml	sub_tiles.blif	common	success	19	10.33	-1	6	-1	
strong_check_route_options	sub_tiles.xml	sub_tiles.blif	common	success	19	10.91	-1	6	-1	
strong_check_route_options	sub_tiles.xml	sub_tiles.blif	common	success	19	11.20	-1	6	-1	
strong_cin_tie_off	k6_frac_N10_4add_2chains_tie_off_depop50_mem20K_22nm.xml	mult_4x4.v	common	success	233	1.01	3	30	-1	
strong_cin_tie_off	k6_frac_N10_4add_2chains_tie_off_depop50_mem20K_22nm.xml	mult_9x9.v	common	success	1211	2.89	9	54	-1	
strong_clock_aliases	timing/k6_N10_40nm.xml	clock_aliases.blif	common	success	18	0.16	4	8	-1	
strong_clock_aliases	timing/k6_N10_40nm.xml	clock_aliases.blif	common	success	18	0.17	4	8	-1	
strong_clock_aliases	timing/k6_N10_40nm.xml	clock_aliases.blif	common	success	18	0.17	4	8	-1	
strong_clock_aliases_set_delay	timing/k6_N10_40nm.xml	clock_set_delay_aliases.blif	common	success	6	0.15	2	6	-1	
strong_clock_buf	k6_frac_N10_mem32K_40nm_clk_buf.xml	multiclock_buf.blif	common	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
strong_clock_modeling	timing/k6_N10_40nm.xml	microbenchmarks/d_flip_flop.v	common	success	2	0.12	1	-1	-1	
strong_clock_modeling	timing/k6_N10_40nm.xml	microbenchmarks/d_flip_flop.v	common	success	8	0.12	1	-1	-1	
strong_clock_modeling	timing/k6_N10_40nm.xml	verilog/mkPktMerge.v	common	success	34	0.48	155	-1	-1	
strong_clock_modeling	timing/k6_N10_40nm.xml	verilog/mkPktMerge.v	common	success	48	0.53	155	-1	-1	
strong_clock_modeling	timing/k6_N10_mem32K_40nm.xml	microbenchmarks/d_flip_flop.v	common	success	2	0.14	1	-1	-1	
strong_clock_modeling	timing/k6_N10_mem32K_40nm.xml	microbenchmarks/d_flip_flop.v	common	success	8	0.14	1	-1	-1	
strong_clock_modeling	timing/k6_N10_mem32K_40nm.xml	verilog/mkPktMerge.v	common	success	13294	5.70	32	-1	-1	
strong_clock_modeling	timing/k6_N10_mem32K_40nm.xml	verilog/mkPktMerge.v	common	success	14070	6.12	32	-1	-1	
strong_clock_pll	k6_frac_N10_mem32K_40nm_clk_pll_valid.xml	multiclock_buf.blif	common	success	83	0.59	4	-1	-1	
strong_clock_pll	k6_frac_N10_mem32K_40nm_clk_pll_invalid.xml	multiclock_buf.blif	common	exited with return code 1	-1	0.00	-1	-1	-1	
strong_constant_outputs	k6_N10_mem32K_40nm.xml	constant_outputs_only.blif	common	success	0	0.17	2	2	-1	
strong_custom_grid	fixed_grid.xml	raygentop.v	common	success	28007	28.41	120	58	-1	
strong_custom_grid	column_io.xml	raygentop.v	common	success	28908	33.90	120	64	-1	
strong_custom_grid	multiwidth_blocks.xml	raygentop.v	common	success	27028	17.87	120	72	-1	
strong_custom_grid	non_column.xml	raygentop.v	common	success	27326	29.45	121	58	-1	
strong_custom_grid	non_column_tall_aspect_ratio.xml	raygentop.v	common	success	30717	34.27	121	48	-1	
strong_custom_grid	non_column_wide_aspect_ratio.xml	raygentop.v	common	success	33090	38.02	121	48	-1	
strong_custom_grid	custom_sbloc.xml	raygentop.v	common	success	26190	17.71	120	70	-1	
strong_custom_grid	multiple_io_types.xml	raygentop.v	common	success	43008	89.19	120	58	-1	
strong_custom_pin_locs	k6_frac_N10_mem32K_40nm_custom_pins.xml	ch_intrinsics.v	common	success	1370	2.27	68	40	-1	
strong_custom_switch_block	k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm.xml	ch_intrinsics.v	common	success	1295	3.36	72	-1	-1	
strong_dedicated_clock	timing/k6_frac_N10_frac_chain_mem32K_htree0_40nm.xml	verilog/mkPktMerge.v	common	success	15073	18.71	30	40	-1	
strong_dedicated_clock	timing/k6_frac_N10_frac_chain_mem32K_htree0_routedCLK_40nm.xml	verilog/mkPktMerge.v	common	success	15097	17.90	30	40	-1	
strong_dedicated_clock	timing/k6_frac_N10_frac_chain_mem32K_htree0short_40nm.xml	verilog/mkPktMerge.v	common	success	16956	26.86	30	40	-1	
strong_default_fc_pinlocs	k4_N4_90nm_default_fc_pinloc.xml	diffeq.blif	common	success	12669	12.72	417	22	-1	
strong_depop	k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	20085	30.84	151	80	-1	
strong_detailed_timing	k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	1369	2.25	68	40	-1	
strong_eblif_vpr	k6_frac_N10_40nm.xml	test_eblif.eblif	common	success	7	0.13	1	20	-1	
strong_eblif_vpr	k6_frac_N10_40nm.xml	conn_order.eblif	common	success	10	0.12	1	20	-1	
strong_eblif_vpr_write	arch.xml	eblif_write.eblif	common	success	11	0.12	-1	2	-1	
strong_echo_files	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	151	0.40	12	-1	-1	
strong_equivalent_sites	equivalent.xml	equivalent.blif	common	success	5	0.16	-1	1	-1	
strong_fc_abs	k6_N10_mem32K_40nm_fc_abs.xml	stereovision3.v	common	success	157	0.44	12	14	-1	
strong_fix_clusters	fix_clusters_test_arch.xml	apex2.blif	common	success	7515	12.18	140	158	-1	
strong_fix_pins_random	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	224	0.42	12	18	-1	
strong_flyover_wires	shorted_flyover_wires.xml	raygentop.v	common	success	31151	19.55	120	70	-1	
strong_flyover_wires	buffered_flyover_wires.xml	raygentop.v	common	success	30395	20.55	120	70	-1	
strong_fpu_hard_block_arch	hard_fpu_arch_timing.xml	mm3.v	common	success	6354	6.77	0	-1	-1	
strong_fracturable_luts	k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	common	success	1091	3.40	67	30	-1	
strong_full_stats	k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	151	0.28	12	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	const_true.blif	common	success	0	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	const_false.blif	common	success	0	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	always_true.blif	common	success	0	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	always_false.blif	common	success	0	0.12	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	and.blif	common	success	4	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	multiconnected_lut.blif	common	success	7	0.13	1	-1	-1	
strong_func_formal_flow	k6_frac_N10_40nm.xml	multiconnected_lut2.blif	common	success	7	0.13	1	-1	-1	
