arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	crit_path_total_internal_heap_pushes	crit_path_total_internal_heap_pops	crit_path_total_external_heap_pushes	crit_path_total_external_heap_pops	crit_path_total_external_SOURCE_pushes	crit_path_total_external_SOURCE_pops	crit_path_total_internal_SOURCE_pushes	crit_path_total_internal_SOURCE_pops	crit_path_total_external_SINK_pushes	crit_path_total_external_SINK_pops	crit_path_total_internal_SINK_pushes	crit_path_total_internal_SINK_pops	crit_path_total_external_IPIN_pushes	crit_path_total_external_IPIN_pops	crit_path_total_internal_IPIN_pushes	crit_path_total_internal_IPIN_pops	crit_path_total_external_OPIN_pushes	crit_path_total_external_OPIN_pops	crit_path_total_internal_OPIN_pushes	crit_path_total_internal_OPIN_pops	crit_path_total_external_CHANX_pushes	crit_path_total_external_CHANX_pops	crit_path_total_internal_CHANX_pushes	crit_path_total_internal_CHANX_pops	crit_path_total_external_CHANY_pushes	crit_path_total_external_CHANY_pops	crit_path_total_internal_CHANY_pushes	crit_path_total_internal_CHANY_pops	crit_path_rt_node_SOURCE_pushes	crit_path_rt_node_SINK_pushes	crit_path_rt_node_IPIN_pushes	crit_path_rt_node_OPIN_pushes	crit_path_rt_node_CHANX_pushes	crit_path_rt_node_CHANY_pushes	crit_path_adding_all_rt	crit_path_adding_high_fanout_rt	crit_path_total_number_of_adding_all_rt_from_calling_high_fanout_rt	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_frac_N10_40nm.xml	const_true.blif	common	2.20	vpr	209.29 MiB		-1	-1	-1	-1	0	0.00	-1	-1	32752	-1	-1	1	0	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	214312	-1	1	1	2	0	1	2	3	3	9	-1	auto	70.2 MiB	0.02	0	205.1 MiB	0.00	0.00	nan	0	0	nan	0.03	0.000168692	0.000137314	0.000795698	0.000612531	-1	0	1	53894	53894	38783.3	4309.26	0.00	0.00177769	0.00132016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	const_false.blif	common	2.20	vpr	209.55 MiB		-1	-1	-1	-1	0	0.00	-1	-1	32912	-1	-1	1	0	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	214580	-1	1	1	2	0	1	2	3	3	9	-1	auto	70.0 MiB	0.02	0	205.2 MiB	0.00	0.00	nan	0	0	nan	0.03	0.000167667	0.000136304	0.000767647	0.000591222	-1	0	1	53894	53894	38783.3	4309.26	0.00	0.00170394	0.00126733	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	always_true.blif	common	2.21	vpr	209.72 MiB		-1	-1	-1	-1	0	0.00	-1	-1	32792	-1	-1	1	0	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	214752	6	1	1	8	0	1	8	3	3	9	-1	auto	70.8 MiB	0.02	0	206.3 MiB	0.01	0.00	nan	0	0	nan	0.03	0.000175987	0.000144624	0.000785931	0.000608413	-1	0	1	53894	53894	38783.3	4309.26	0.01	0.00180759	0.00133063	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	always_false.blif	common	2.19	vpr	209.80 MiB		-1	-1	-1	-1	0	0.00	-1	-1	32796	-1	-1	1	0	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	214836	6	1	1	8	0	1	8	3	3	9	-1	auto	70.6 MiB	0.02	0	206.3 MiB	0.01	0.00	nan	0	0	nan	0.03	0.000178248	0.000137332	0.000810006	0.000615421	-1	0	1	53894	53894	38783.3	4309.26	0.01	0.0018458	0.00135997	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	and.blif	common	2.23	vpr	210.28 MiB		-1	-1	-1	-1	1	0.00	-1	-1	33076	-1	-1	1	2	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	215328	2	1	3	4	0	3	4	3	3	9	-1	auto	70.4 MiB	0.02	6	206.5 MiB	0.01	0.00	0.708653	-0.708653	-0.708653	nan	0.03	0.000154724	0.000146608	0.000840152	0.000655687	-1	4	1	53894	53894	38783.3	4309.26	0.01	0.00222868	0.00153954	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	multiconnected_lut.blif	common	2.37	vpr	210.43 MiB		-1	-1	-1	-1	1	0.05	-1	-1	34828	-1	-1	1	5	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	215476	5	1	6	7	0	6	7	3	3	9	-1	auto	70.7 MiB	0.03	12	206.5 MiB	0.01	0.00	0.708653	-0.708653	-0.708653	nan	0.03	0.000186459	0.000174796	0.000994998	0.000770583	-1	7	11	53894	53894	38783.3	4309.26	0.03	0.00482895	0.00382268	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	multiconnected_lut2.blif	common	2.39	vpr	210.38 MiB		-1	-1	-1	-1	1	0.04	-1	-1	35088	-1	-1	1	5	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	215424	5	1	6	7	0	6	7	3	3	9	-1	auto	70.3 MiB	0.03	12	206.5 MiB	0.01	0.00	0.708653	-0.708653	-0.708653	nan	0.03	0.00017165	0.000160422	0.000993513	0.000768951	-1	7	11	53894	53894	38783.3	4309.26	0.03	0.00475075	0.00376818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	and_latch.blif	common	2.20	vpr	210.27 MiB		-1	-1	-1	-1	1	0.00	-1	-1	32972	-1	-1	1	3	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	215316	3	1	5	6	1	4	5	3	3	9	-1	auto	70.7 MiB	0.03	6	206.5 MiB	0.01	0.00	0.544641	-0.918653	-0.544641	0.544641	0.03	0.000178345	0.000167595	0.00101133	0.000774031	-1	3	1	53894	53894	38783.3	4309.26	0.01	0.00271321	0.00184594	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	false_path_mux.blif	common	2.32	vpr	210.00 MiB		-1	-1	-1	-1	1	0.04	-1	-1	35284	-1	-1	1	3	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	215044	4	1	4	6	0	4	6	3	3	9	-1	auto	70.5 MiB	0.03	8	206.5 MiB	0.01	0.00	0.708653	-0.708653	-0.708653	nan	0.03	0.000166814	0.000156396	0.000902501	0.000709506	-1	6	1	53894	53894	38783.3	4309.26	0.01	0.00234026	0.0016632	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_40nm.xml	mult_2x2.blif	common	2.46	vpr	211.30 MiB		-1	-1	-1	-1	1	0.04	-1	-1	34792	-1	-1	1	4	-1	-1	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	216372	4	4	8	12	0	8	9	3	3	9	-1	auto	70.8 MiB	0.05	16	207.4 MiB	0.02	0.00	0.708653	-2.83461	-0.708653	nan	0.03	0.000269687	0.000248025	0.00151361	0.00118942	-1	11	5	53894	53894	38783.3	4309.26	0.03	0.00570493	0.0044884	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
