arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	crit_path_total_internal_heap_pushes	crit_path_total_internal_heap_pops	crit_path_total_external_heap_pushes	crit_path_total_external_heap_pops	crit_path_total_external_SOURCE_pushes	crit_path_total_external_SOURCE_pops	crit_path_total_internal_SOURCE_pushes	crit_path_total_internal_SOURCE_pops	crit_path_total_external_SINK_pushes	crit_path_total_external_SINK_pops	crit_path_total_internal_SINK_pushes	crit_path_total_internal_SINK_pops	crit_path_total_external_IPIN_pushes	crit_path_total_external_IPIN_pops	crit_path_total_internal_IPIN_pushes	crit_path_total_internal_IPIN_pops	crit_path_total_external_OPIN_pushes	crit_path_total_external_OPIN_pops	crit_path_total_internal_OPIN_pushes	crit_path_total_internal_OPIN_pops	crit_path_total_external_CHANX_pushes	crit_path_total_external_CHANX_pops	crit_path_total_internal_CHANX_pushes	crit_path_total_internal_CHANX_pops	crit_path_total_external_CHANY_pushes	crit_path_total_external_CHANY_pops	crit_path_total_internal_CHANY_pushes	crit_path_total_internal_CHANY_pops	crit_path_rt_node_SOURCE_pushes	crit_path_rt_node_SINK_pushes	crit_path_rt_node_IPIN_pushes	crit_path_rt_node_OPIN_pushes	crit_path_rt_node_CHANX_pushes	crit_path_rt_node_CHANY_pushes	crit_path_adding_all_rt	crit_path_adding_high_fanout_rt	crit_path_total_number_of_adding_all_rt_from_calling_high_fanout_rt	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	const_true.blif	common	7.01	vpr	206.75 MiB		-1	-1	-1	-1	0	0.00	-1	-1	32752	-1	-1	1	0	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	211708	-1	1	1	2	0	1	2	3	3	9	-1	auto	61.8 MiB	0.02	0	200.7 MiB	0.00	0.00	nan	0	0	nan	0.29	0.000167369	0.000135508	0.000788903	0.000604742	2	0	1	3900	3900	966.985	107.443	0.20	0.00184255	0.0013551	258	293	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	966.985	107.443	0.00	0.00	0.08	-1	-1	0.00	0.000798441	0.000594558	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	const_false.blif	common	6.99	vpr	207.14 MiB		-1	-1	-1	-1	0	0.01	-1	-1	32804	-1	-1	1	0	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	212116	-1	1	1	2	0	1	2	3	3	9	-1	auto	61.7 MiB	0.02	0	201.0 MiB	0.00	0.00	nan	0	0	nan	0.29	0.000165511	0.000135256	0.000799987	0.000607986	2	0	1	3900	3900	966.985	107.443	0.20	0.00187234	0.00137826	258	293	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	966.985	107.443	0.00	0.00	0.08	-1	-1	0.00	0.000781135	0.000580699	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	always_true.blif	common	7.04	vpr	207.21 MiB		-1	-1	-1	-1	0	0.01	-1	-1	32836	-1	-1	1	0	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	212188	6	1	1	8	0	1	8	3	3	9	-1	auto	61.8 MiB	0.02	0	201.2 MiB	0.01	0.00	nan	0	0	nan	0.29	0.000200388	0.000160012	0.000825934	0.000629074	2	0	1	3900	3900	966.985	107.443	0.19	0.00190863	0.00139532	258	293	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	966.985	107.443	0.00	0.01	0.08	-1	-1	0.00	0.000764262	0.000568562	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	always_false.blif	common	7.04	vpr	207.50 MiB		-1	-1	-1	-1	0	0.00	-1	-1	32912	-1	-1	1	0	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	212484	6	1	1	8	0	1	8	3	3	9	-1	auto	61.9 MiB	0.02	0	201.1 MiB	0.01	0.00	nan	0	0	nan	0.29	0.000171846	0.00013929	0.00080778	0.000618044	2	0	1	3900	3900	966.985	107.443	0.20	0.00191431	0.0014068	258	293	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	966.985	107.443	0.00	0.01	0.08	-1	-1	0.00	0.000735537	0.000533485	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	and.blif	common	7.26	vpr	209.60 MiB		-1	-1	-1	-1	1	0.00	-1	-1	32936	-1	-1	1	2	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	214632	2	1	3	4	0	3	4	3	3	9	-1	auto	62.3 MiB	0.03	6	201.1 MiB	0.01	0.00	0.459217	-0.459217	-0.459217	nan	0.29	0.000156225	0.000147791	0.000922034	0.000664929	16	10	1	3900	3900	3970.02	441.113	0.39	0.00261055	0.00178607	330	691	-1	7	1	3	3	76	61	0	0	76	61	3	3	0	0	15	15	0	0	18	18	0	0	3	3	0	0	14	9	0	0	23	13	0	0	3	0	0	0	0	0	3	0	0	0.656238	nan	-0.656238	-0.656238	0	0	4445.42	493.935	0.00	0.01	0.11	-1	-1	0.00	0.00101252	0.000699544	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	multiconnected_lut.blif	common	7.76	vpr	211.32 MiB		-1	-1	-1	-1	2	0.04	-1	-1	34872	-1	-1	1	5	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	216388	5	1	7	8	0	7	7	3	3	9	-1	auto	62.1 MiB	0.03	14	201.6 MiB	0.01	0.00	0.72619	-0.72619	-0.72619	nan	0.29	0.000231793	0.000163254	0.00104451	0.000760142	16	33	25	3900	3900	3970.02	441.113	0.66	0.0209985	0.0178678	330	691	-1	13	8	20	20	570	442	0	0	570	442	20	20	0	0	110	109	0	0	156	147	0	0	20	20	0	0	111	65	0	0	153	81	0	0	20	0	0	0	0	0	20	0	0	0.856453	nan	-0.856453	-0.856453	0	0	4445.42	493.935	0.00	0.03	0.11	-1	-1	0.00	0.00281266	0.00229982	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	multiconnected_lut2.blif	common	7.71	vpr	210.91 MiB		-1	-1	-1	-1	2	0.05	-1	-1	34916	-1	-1	1	5	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	215972	5	1	7	8	0	7	7	3	3	9	-1	auto	61.7 MiB	0.03	14	201.6 MiB	0.01	0.00	0.72619	-0.72619	-0.72619	nan	0.29	0.000229505	0.000161964	0.0010421	0.000752594	16	24	16	3900	3900	3970.02	441.113	0.65	0.018865	0.0159948	330	691	-1	19	9	26	26	721	563	0	0	721	563	26	26	0	0	141	141	0	0	193	185	0	0	26	26	0	0	140	79	0	0	195	106	0	0	26	0	0	0	0	0	26	0	0	1.22966	nan	-1.22966	-1.22966	0	0	4445.42	493.935	0.00	0.03	0.11	-1	-1	0.00	0.00301481	0.00250557	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	and_latch.blif	common	7.21	vpr	209.81 MiB		-1	-1	-1	-1	1	0.00	-1	-1	32964	-1	-1	1	3	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	214844	3	1	5	6	1	4	5	3	3	9	-1	auto	62.1 MiB	0.03	6	201.3 MiB	0.01	0.00	0.282563	-0.551847	-0.282563	0.282563	0.29	0.000177479	0.000166923	0.00106938	0.00076336	14	4	1	3900	3900	2841.42	315.713	0.38	0.00317248	0.00215971	322	679	-1	9	1	3	3	67	52	0	0	67	52	3	3	0	0	14	13	0	0	14	14	0	0	3	3	0	0	13	6	0	0	20	13	0	0	3	0	0	0	0	0	3	0	0	0.532011	0.532011	-0.86673	-0.532011	0	0	4264.82	473.869	0.00	0.01	0.11	-1	-1	0.00	0.00122088	0.00084533	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	false_path_mux.blif	common	7.46	vpr	209.84 MiB		-1	-1	-1	-1	1	0.04	-1	-1	35316	-1	-1	1	3	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	214872	4	1	4	6	0	4	6	3	3	9	-1	auto	61.8 MiB	0.03	8	201.6 MiB	0.01	0.00	0.459217	-0.459217	-0.459217	nan	0.29	0.000167902	0.000158585	0.000944779	0.000702154	14	17	12	3900	3900	2841.42	315.713	0.40	0.00495953	0.00398456	322	679	-1	12	12	25	25	797	638	0	0	797	638	25	25	0	0	168	167	0	0	236	235	0	0	25	25	0	0	123	74	0	0	220	112	0	0	25	0	0	0	0	0	25	0	0	0.903756	nan	-0.903756	-0.903756	0	0	4264.82	473.869	0.00	0.03	0.11	-1	-1	0.00	0.00317779	0.00269311	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_2x2.blif	common	8.23	vpr	213.43 MiB		-1	-1	-1	-1	1	0.04	-1	-1	34828	-1	-1	1	4	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	218552	4	4	8	12	0	8	9	3	3	9	-1	auto	62.2 MiB	0.05	17	202.0 MiB	0.02	0.00	0.461147	-1.8388	-0.461147	nan	0.29	0.000278578	0.000256988	0.00151459	0.00113747	28	40	26	3900	3900	5935.82	659.535	0.99	0.0355076	0.0312934	394	1003	-1	37	8	26	79	2373	1678	0	0	2373	1678	79	61	0	0	429	424	0	0	567	534	0	0	94	80	0	0	488	163	0	0	716	416	0	0	79	0	0	53	53	87	458	0	0	0.94521	nan	-3.00059	-0.94521	0	0	6854.42	761.602	0.01	0.05	0.13	-1	-1	0.01	0.00483629	0.00410102	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_3x3.blif	common	12.00	vpr	226.97 MiB		-1	-1	-1	-1	3	0.05	-1	-1	35552	-1	-1	3	6	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	232416	6	6	28	34	0	28	15	5	5	25	clb	auto	63.5 MiB	0.16	103	208.1 MiB	0.03	0.00	1.28477	-5.86383	-1.28477	nan	0.75	0.000518994	0.000454424	0.00295923	0.00236847	24	230	15	23400	11700	20975.0	838.999	2.75	0.0704943	0.0615764	1420	4462	-1	208	19	241	990	55771	25029	0	0	55771	25029	990	656	0	0	4866	4795	0	0	8605	6643	0	0	1220	892	0	0	19824	6417	0	0	20266	5626	0	0	990	0	0	749	2727	2272	12108	0	0	1.63173	nan	-7.5813	-1.63173	0	0	27052.1	1082.08	0.05	0.44	0.32	-1	-1	0.05	0.0215884	0.0189283	
k4_N8_topology-0.85sL2-0.15gL4-on-cb-off-sb_22nm_22nm_nonLR.xml	mult_3x4.blif	common	13.74	vpr	233.45 MiB		-1	-1	-1	-1	4	0.05	-1	-1	35292	-1	-1	5	7	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	239048	7	8	39	47	0	39	20	5	5	25	clb	auto	64.6 MiB	0.21	154	209.4 MiB	0.07	0.01	1.50544	-7.62486	-1.50544	nan	0.76	0.000662891	0.000575578	0.00790052	0.00651144	30	357	20	23400	19500	26626.2	1065.05	3.93	0.104404	0.0913833	1540	5656	-1	323	16	297	1143	75290	32348	0	0	75290	32348	1143	975	0	0	5854	5732	0	0	11163	8173	0	0	1486	1314	0	0	25843	7271	0	0	29801	8883	0	0	1143	0	0	846	2683	3070	14950	0	0	1.8297	nan	-10.0168	-1.8297	0	0	33739.5	1349.58	0.05	0.54	0.34	-1	-1	0.05	0.0252561	0.0222742	
