arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	crit_path_total_internal_heap_pushes	crit_path_total_internal_heap_pops	crit_path_total_external_heap_pushes	crit_path_total_external_heap_pops	crit_path_total_external_SOURCE_pushes	crit_path_total_external_SOURCE_pops	crit_path_total_internal_SOURCE_pushes	crit_path_total_internal_SOURCE_pops	crit_path_total_external_SINK_pushes	crit_path_total_external_SINK_pops	crit_path_total_internal_SINK_pushes	crit_path_total_internal_SINK_pops	crit_path_total_external_IPIN_pushes	crit_path_total_external_IPIN_pops	crit_path_total_internal_IPIN_pushes	crit_path_total_internal_IPIN_pops	crit_path_total_external_OPIN_pushes	crit_path_total_external_OPIN_pops	crit_path_total_internal_OPIN_pushes	crit_path_total_internal_OPIN_pops	crit_path_total_external_CHANX_pushes	crit_path_total_external_CHANX_pops	crit_path_total_internal_CHANX_pushes	crit_path_total_internal_CHANX_pops	crit_path_total_external_CHANY_pushes	crit_path_total_external_CHANY_pops	crit_path_total_internal_CHANY_pushes	crit_path_total_internal_CHANY_pops	crit_path_rt_node_SOURCE_pushes	crit_path_rt_node_SINK_pushes	crit_path_rt_node_IPIN_pushes	crit_path_rt_node_OPIN_pushes	crit_path_rt_node_CHANX_pushes	crit_path_rt_node_CHANY_pushes	crit_path_adding_all_rt	crit_path_adding_high_fanout_rt	crit_path_total_number_of_adding_all_rt_from_calling_high_fanout_rt	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
EArch.xml	styr.blif	common_--target_ext_pin_util_1	40.77	vpr	450.34 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	461148	10	10	168	178	1	75	31	6	6	36	clb	auto	276.2 MiB	5.15	377	431.2 MiB	0.32	0.01	2.28629	-25.3037	-2.28629	2.28629	1.29	0.00323654	0.00275394	0.0779832	0.0669181	34	729	19	646728	592834	60331.2	1675.87	10.11	0.854754	0.750979	2760	10905	-1	749	24	567	2003	84153	30622	0	0	84153	30622	2003	1429	0	0	6204	5627	0	0	10384	8639	0	0	2441	1722	0	0	30731	6613	0	0	32390	6592	0	0	2003	0	0	1578	7189	7485	53107	0	0	2.71342	2.71342	-33.041	-2.71342	0	0	73923.1	2053.42	0.06	1.47	0.64	-1	-1	0.06	0.181735	0.162066	
EArch.xml	styr.blif	common_--target_ext_pin_util_0.7	40.87	vpr	450.34 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	461144	10	10	168	178	1	75	31	6	6	36	clb	auto	276.3 MiB	5.16	377	431.2 MiB	0.32	0.01	2.28629	-25.3037	-2.28629	2.28629	1.31	0.0031737	0.00268234	0.078141	0.0668609	34	729	19	646728	592834	60331.2	1675.87	10.15	0.850371	0.74662	2760	10905	-1	749	24	567	2003	84153	30622	0	0	84153	30622	2003	1429	0	0	6204	5627	0	0	10384	8639	0	0	2441	1722	0	0	30731	6613	0	0	32390	6592	0	0	2003	0	0	1578	7189	7485	53107	0	0	2.71342	2.71342	-33.041	-2.71342	0	0	73923.1	2053.42	0.06	1.46	0.64	-1	-1	0.06	0.181092	0.161545	
EArch.xml	styr.blif	common_--target_ext_pin_util_0.1,0.5	149.98	vpr	701.01 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	717836	10	10	168	178	1	162	110	14	14	196	clb	auto	566.5 MiB	77.52	1427	701.0 MiB	1.27	0.05	2.49469	-31.7529	-2.49469	2.49469	11.06	0.00328164	0.00278179	0.0919863	0.0776614	28	2777	12	9.20055e+06	4.85046e+06	407540.	2079.28	22.31	0.514511	0.452142	18980	78299	-1	2716	14	578	2206	129952	27738	0	0	129952	27738	2206	1074	0	0	6857	5834	0	0	9639	9363	0	0	2462	1347	0	0	55751	4790	0	0	53037	5330	0	0	2206	0	0	1741	20069	19715	119303	0	0	3.30455	3.30455	-42.911	-3.30455	0	0	486621.	2482.76	0.91	1.89	4.11	-1	-1	0.91	0.120988	0.108799	
EArch.xml	styr.blif	common_--target_ext_pin_util_0.5,0.3	42.40	vpr	463.40 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	474524	10	10	168	178	1	75	33	7	7	49	clb	auto	287.7 MiB	6.71	404	447.1 MiB	0.26	0.01	2.19243	-25.5645	-2.19243	2.19243	1.98	0.00311993	0.00263981	0.0593131	0.0507207	26	1151	31	1.07788e+06	700622	75813.7	1547.22	8.95	0.59993	0.527199	3816	13734	-1	917	14	423	1423	65638	21443	0	0	65638	21443	1423	1067	0	0	4476	4044	0	0	7003	6292	0	0	1769	1406	0	0	25911	4290	0	0	25056	4344	0	0	1423	0	0	1091	4922	5598	38208	0	0	3.01689	3.01689	-34.2006	-3.01689	0	0	91376.6	1864.83	0.12	1.02	0.86	-1	-1	0.12	0.123464	0.110977	
EArch.xml	styr.blif	common_--target_ext_pin_util_0.0	154.06	vpr	699.99 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	716792	10	10	168	178	1	163	121	14	14	196	clb	auto	565.0 MiB	86.59	1472	700.0 MiB	1.71	0.05	2.56029	-32.6207	-2.56029	2.56029	11.04	0.00321014	0.00271426	0.111181	0.0934274	20	2980	20	9.20055e+06	5.44329e+06	295730.	1508.82	17.36	0.279888	0.243378	18004	60473	-1	2921	13	635	2456	148117	31310	0	0	148117	31310	2456	1208	0	0	7582	6496	0	0	10584	10341	0	0	2757	1553	0	0	64007	5530	0	0	60731	6182	0	0	2456	0	0	1928	21866	23440	135006	0	0	3.72331	3.72331	-44.4881	-3.72331	0	0	387483.	1976.95	0.72	1.92	3.76	-1	-1	0.72	0.114336	0.102752	
EArch.xml	styr.blif	common_--target_ext_pin_util_clb_0.7	40.74	vpr	450.17 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	460976	10	10	168	178	1	75	31	6	6	36	clb	auto	276.3 MiB	5.14	377	431.1 MiB	0.32	0.01	2.28629	-25.3037	-2.28629	2.28629	1.31	0.00316433	0.00267744	0.0775611	0.0662913	34	729	19	646728	592834	60331.2	1675.87	10.11	0.844384	0.741041	2760	10905	-1	749	24	567	2003	84153	30622	0	0	84153	30622	2003	1429	0	0	6204	5627	0	0	10384	8639	0	0	2441	1722	0	0	30731	6613	0	0	32390	6592	0	0	2003	0	0	1578	7189	7485	53107	0	0	2.71342	2.71342	-33.041	-2.71342	0	0	73923.1	2053.42	0.06	1.45	0.64	-1	-1	0.06	0.18005	0.160672	
EArch.xml	styr.blif	common_--target_ext_pin_util_clb_0.7_0.8	40.68	vpr	450.38 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	461188	10	10	168	178	1	75	31	6	6	36	clb	auto	276.1 MiB	5.14	377	431.3 MiB	0.32	0.01	2.28629	-25.3037	-2.28629	2.28629	1.28	0.0031325	0.0026452	0.0773392	0.0660776	34	729	19	646728	592834	60331.2	1675.87	10.13	0.849231	0.745632	2760	10905	-1	749	24	567	2003	84153	30622	0	0	84153	30622	2003	1429	0	0	6204	5627	0	0	10384	8639	0	0	2441	1722	0	0	30731	6613	0	0	32390	6592	0	0	2003	0	0	1578	7189	7485	53107	0	0	2.71342	2.71342	-33.041	-2.71342	0	0	73923.1	2053.42	0.06	1.45	0.64	-1	-1	0.06	0.180806	0.161309	
EArch.xml	styr.blif	common_--target_ext_pin_util_clb_0.1_0.8	150.23	vpr	700.75 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	717572	10	10	168	178	1	162	110	14	14	196	clb	auto	566.1 MiB	77.70	1427	700.8 MiB	1.28	0.05	2.49469	-31.7529	-2.49469	2.49469	11.08	0.00325827	0.00274929	0.0914626	0.0771023	28	2777	12	9.20055e+06	4.85046e+06	407540.	2079.28	22.32	0.515387	0.452864	18980	78299	-1	2716	14	578	2206	129952	27738	0	0	129952	27738	2206	1074	0	0	6857	5834	0	0	9639	9363	0	0	2462	1347	0	0	55751	4790	0	0	53037	5330	0	0	2206	0	0	1741	20069	19715	119303	0	0	3.30455	3.30455	-42.911	-3.30455	0	0	486621.	2482.76	0.91	1.88	4.12	-1	-1	0.91	0.121351	0.109154	
EArch.xml	styr.blif	common_--target_ext_pin_util_io_0.1,0.1_clb_0.7_0.8,1.0	40.78	vpr	450.35 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	10	0	0	success	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	461156	10	10	168	178	1	75	31	6	6	36	clb	auto	276.1 MiB	5.15	377	431.2 MiB	0.32	0.01	2.28629	-25.3037	-2.28629	2.28629	1.30	0.00318492	0.0027013	0.0777899	0.0665645	34	729	19	646728	592834	60331.2	1675.87	10.15	0.846779	0.743568	2760	10905	-1	749	24	567	2003	84153	30622	0	0	84153	30622	2003	1429	0	0	6204	5627	0	0	10384	8639	0	0	2441	1722	0	0	30731	6613	0	0	32390	6592	0	0	2003	0	0	1578	7189	7485	53107	0	0	2.71342	2.71342	-33.041	-2.71342	0	0	73923.1	2053.42	0.06	1.46	0.63	-1	-1	0.06	0.182385	0.162609	
EArch.xml	styr.blif	common_--target_ext_pin_util_-0.1	8.44	vpr	237.74 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	9438425-dirty	release IPO VTR_ASSERT_LEVEL=3 sanitizers	GNU 9.4.0 on Linux-5.10.35-v8 x86_64	2023-03-13T17:39:26	gh-actions-runner-vtr-auto-spawned14	/root/vtr-verilog-to-routing/vtr-verilog-to-routing	243448	10	10	168	178	1	-1	-1	-1	-1	-1	-1	-1	234.2 MiB	0.03	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
